No.,US-Equity-SNP,US-Equity-1000,US-Equity-Russell-2000,US-Equity-All
349,LVS,CMS,FULT,FULT
350,TYL,ATO,SKYW,SKYW
351,FSLR,COO,TWST,TWST
352,WAT,HBAN,ENV,ENV
353,CMS,VLTO,AROC,AROC
354,ATO,NTRS,AIR,AIR
355,COO,PFG,MGEE,MGEE
356,HBAN,MKC,PFSI,PFSI
357,VLTO,RF,CVBF,CVBF
358,NTRS,BG,BLMN,BLMN
359,PFG,J,RDNT,RDNT
360,MKC,AXON,VCEL,VCEL
361,RF,HUBB,AUB,AUB
362,BG,OMC,CALM,CALM
363,J,CINF,BOH,BOH
364,AXON,LUV,CARG,CARG
365,HUBB,CCL,BE,BE
366,OMC,AVY,ARRY,ARRY
367,CINF,ALGN,TBBK,TBBK
368,LUV,SWKS,PPBI,PPBI
369,CCL,JBHT,SHO,SHO
370,AVY,WDC,NHI,NHI
371,ALGN,TXT,CTRE,CTRE
372,SWKS,MRO,PARR,PARR
373,JBHT,PKG,SFNC,SFNC
374,WDC,STX,IOVA,IOVA
375,TXT,IEX,TRN,TRN
376,MRO,DGX,MLKN,MLKN
377,PKG,WRB,NUVL,NUVL
378,STX,LDOS,PD,PD
379,IEX,EPAM,CPK,CPK
380,DGX,SNA,STRA,STRA
381,WBA,ALB,CBU,CBU
382,WRB,CF,JJSF,JJSF
383,LDOS,MAA,HL,HL
384,EPAM,EQT,ALG,ALG
385,SNA,ENPH,PLUS,PLUS
386,ALB,LW,COUR,COUR
387,CF,TER,XRX,XRX
388,MAA,SWK,DNLI,DNLI
389,EQT,BBY,OSIS,OSIS
390,ENPH,ESS,DORM,DORM
391,LW,SYF,GVA,GVA
392,TER,AMCR,OII,OII
393,SWK,CE,EBC,EBC
394,BBY,MAS,ENR,ENR
395,ESS,POOL,FCPT,FCPT
396,SYF,DPZ,FIBK,FIBK
397,AMCR,K,VIAV,VIAV
398,CE,TSN,INDB,INDB
399,MAS,CFG,PLAY,PLAY
400,POOL,CAG,CRVL,CRVL
401,DPZ,PODD,INSW,INSW
402,K,UAL,THS,THS
403,TSN,LNT,ARDX,ARDX
404,CFG,L,AMPH,AMPH
405,CAG,IP,SBCF,SBCF
406,PODD,NDSN,MODG,MODG
407,UAL,HST,FRME,FRME
408,LNT,GEN,IRWD,IRWD
409,L,ZBRA,AMBA,AMBA
410,IP,KIM,ABR,ABR
411,NDSN,MOS,ROG,ROG
412,HST,LKQ,WGO,WGO
413,GEN,AES,CALX,CALX
414,ZBRA,IPG,BANF,BANF
415,KEY,LYV,SCL,SCL
416,KIM,EVRG,HNI,HNI
417,MOS,TRMB,VRNT,VRNT
418,LKQ,JKHY,PLAB,PLAB
419,AES,TAP,FFBC,FFBC
420,IPG,MGM,IMVT,IMVT
421,LYV,SJM,UE,UE
422,EVRG,RVTY,GOLF,GOLF
423,TRMB,VTRS,PRIM,PRIM
424,JKHY,APA,PSMT,PSMT
425,TAP,PNR,HURN,HURN
426,MGM,TFX,TOWN,TOWN
427,ROL,KMX,SLVM,SLVM
428,SJM,NI,PRCT,PRCT
429,RVTY,UDR,KMT,KMT
430,VTRS,CRL,UPST,UPST
431,APA,TECH,TGTX,TGTX
432,NRG,ETSY,MIR,MIR
433,PNR,INCY,GSHD,GSHD
434,GL,CZR,DRH,DRH
435,TFX,CPT,MBC,MBC
436,KMX,QRVO,EAT,EAT
437,WRK,ALLE,FSLY,FSLY
438,NI,MTCH,STEP,STEP
439,REG,HSIC,OUT,OUT
440,UDR,HRL,ATGE,ATGE
441,CRL,PAYC,CORT,CORT
442,FFIV,AAL,SXI,SXI
443,TECH,WYNN,EPC,EPC
444,EMN,BWA,CNS,CNS
445,ETSY,TPR,DK,DK
446,INCY,FMC,SJW,SJW
447,CZR,SEDG,WOR,WOR
448,CPT,FOX,CENTA,CENTA
449,CHRW,SMCI,RCKT,RCKT
450,AOS,ELF,UCTT,UCTT
451,QRVO,FIX,BKU,BKU
